x,ExactSolution,Collocation 1,Collocation 2,Subdomain,Galerkin,Least Squares
0,0,0,0,0,0,0
0.1,-0.1736,-0.1435,-0.1602,-0.1753,-0.1794,-0.1657
0.2,-0.3402,-0.2772,-0.3108,-0.3403,-0.3451,-0.3217
0.3,-0.4928,-0.3975,-0.4477,-0.4907,-0.4935,-0.4635
0.4,-0.6248,-0.5006,-0.5666,-0.6221,-0.6208,-0.5869
0.5,-0.7303,-0.5827,-0.6633,-0.73,-0.7233,-0.6877
0.6,-0.8042,-0.64,-0.7336,-0.81,-0.7972,-0.7615
0.7,-0.8424,-0.669,-0.7734,-0.8577,-0.839,-0.8041
0.8,-0.8422,-0.6657,-0.7785,-0.8687,-0.8449,-0.8113
0.9,-0.8019,-0.6264,-0.7446,-0.8385,-0.8111,-0.7788
1,-0.7216,-0.5476,-0.6676,-0.7627,-0.734,-0.7022
